prompt,response
Where can we transfer or change buses at the Latuharhari (direction of TU Gas) bus stop?,"4 (Corridor 4H) 6 9 (Corridor 9M) 13 (Corridor 13E)

MetroTrans/MiniTrans: 6F Manggarai Station-Ragunan, 6M Manggarai Station-Blok M, DA3 MRT Dukuh Atas-Kuningan Timur"
Where can we transfer or change buses at the Setiabudi Utara AINI bus stop?,"1. (Corridor 4H)
2. 6
3. 6A
4. 9 (Corridor 9M)
5. 13 (Corridor 13E)

MetroTrans/MiniTrans: 6F Manggarai Station-Ragunan, 6H Lebak Bulus-Senen, 6M Manggarai Station-Blok M, DA3 MRT Dukuh Atas-Kuningan Timur

RoyalTrans: B14 Summarecon Bekasi-Setiabudi Utara-AINI, D31 Limo-Setiabudi Utara-AINI, 6P Cibubur Junction-Setiabudi Utara-AINI

Jak Lingko: JAK-18 Duren Kalibata Station-Setiabudi Utara-AINI, Suburban Express: D31 Limo-Halimun"
Where can we transfer or change buses at the Kuningan Madya bus stop?,"MetroTrans/MiniTrans: 4 (Corridor 4H) 6 6A 9 (Corridor 9M) 13 (Corridor 13E)

RoyalTrans: B14 Summarecon Bekasi-Setiabudi Utara-AINI, D31 Limo-Setiabudi Utara-AINI, 6P Cibubur Junction-Setiabudi Utara AINI"
Where can we transfer or change buses at the Karet Kuningan bus stop?,"MetroTrans/MiniTrans: 4 (Corridor 4H) 6 6A 9 (Corridor 9M) 13 (Corridor 13E)

RoyalTrans: B14 Summarecon Bekasi-Setiabudi Utara-AINI, D31 Limo-Setiabudi Utara-AINI, 6P Cibubur Junction-Setiabudi Utara AINI"
Where can we transfer or change buses at the Departemen Kesehatan bus stop?,"(Koridor 4H) 6 6A 9 (Koridor 9M) 13 (Koridor 13E) 

MetroTrans/MiniTrans: 6C Tebet Station-Patra Kuningan-Karet (non-BRT stop), 6F Manggarai Station-Ragunan, 6H Lebak Bulus-Senen, 6M Manggarai Station-Blok M, 6Q Taman Rasuna Apartments-Kota Kasablanka, DA3 MRT Dukuh Atas-East Kuningan

RoyalTrans: B14 Summarecon Bekasi-Setiabudi Utara-AINI, D31 Limo-Setiabudi Utara-AINI, 6P Cibubur Junction-Setiabudi Utara-AINI"
Where can we transfer or change buses at the Patra Kuningan bus stop?,"4H corridor is empty.
Koridor 4H is kosong.
6, 6A, 9, and 13 are the same in English.
MetroTrans/MiniTrans: 6C Tebet Station-Patra Kuningan-Karet, 6E Tebet Station-Mega Kuningan-Karet, 6F Manggarai Station-Ragunan, 6H Lebak Bulus-Senen, 6M Manggarai Station-Blok M, DA3 MRT Dukuh Atas-Kuningan Timur
RoyalTrans: B14 Summarecon Bekasi-Setiabudi Utara-AINI, D31 Limo-Setiabudi Utara-AINI, 6P Cibubur Junction-Setiabudi Utara AINI"
Where can we transfer or change buses at the Ragunan bus stop?,"Corridor 4H, 6, 6A, 7E, and 13D, MetroTrans/MiniTrans: Corridor 4H Pulo Gadung 2 to Ragunan, corridor 6F Manggarai Station to Ragunan, corridor 6N Ragunan to Blok M via Kemang"
Where can we transfer or change buses at the Departemen Pertanian bus stop?,"Corridor 4H, 6, 6A, 7E, and 13D, MetroTrans/MiniTrans: Corridor 4H Pulo Gadung 2 to Ragunan, corridor 6F Manggarai Station to Ragunan, corridor 6N Ragunan to Blok M via Kemang"
Where can we transfer or change buses at the SMK 57 bus stop?,"4 (Corridor 4H) 6 6A 13 (Corridor 13D), MetroTrans/MiniTrans: 4H Pulo Gadung 2-Ragunan, 6F Manggarai Station-Ragunan, 6H Lebak Bulus-Senen, 11F Pasar Minggu-Pulo Gebang"
Where can we transfer or change buses at the Jati Padang bus stop?,"4 (Koridor 4H) 6 6A 13 (Koridor 13D), MetroTrans/MiniTrans: 4H Pulo Gadung-Ragunan, 6F Stasiun Manggarai-Ragunan, 6H Lebak Bulus-Senen

4 (Corridor 4H) 6 6A 13 (Corridor 13D), MetroTrans/MiniTrans: 4H Pulo Gadung-Ragunan, 6F Manggarai Station-Ragunan, 6H Lebak Bulus-Senen"
Where can we transfer or change buses at the Pejaten bus stop?,"4 (Corridor 4H) 6 6A 13 (Corridor 13D), MetroTrans/MiniTrans: 6F Manggarai Station-Ragunan, 6H Lebak Bulus-Senen."
Where can we transfer or change buses at the Buncit Indah bus stop?,"4H Pulo Gadung 2-Ragunan, 6F Stasiun Manggarai-Ragunan, 6H Lebak Bulus-Senen"
Where can we transfer or change buses at the Warung Jati bus stop?,"4H Pulo Gadung 2-Ragunan, 6F Stasiun Manggarai-Ragunan, 6H Lebak Bulus-Senen"
Where can we transfer or change buses at the South Jakarta Immigration bus stop?,"4H Pulo Gadung 2-Ragunan, 6F Stasiun Manggarai-Ragunan, 6H Lebak Bulus-Senen"
Where can we transfer or change buses at the Duren Tiga bus stop?,"4 (Corridor 4H) 6 6A 13 (Corridor 13D), MetroTrans/MiniTrans: 4H Pulo Gadung 2-Ragunan, 6F Manggarai Station-Ragunan, 6H Lebak Bulus-Senen, 7B Kampung Rambutan-Blok M"
Where can we transfer or change buses at the Mampang Prapatan bus stop?,"4 (Corridor 4H) 6 6A 13 (Corridor 13D), MetroTrans/MiniTrans: 4H Pulo Gadung 2-Ragunan, 6F Manggarai Station-Ragunan, 6H Lebak Bulus-Senen, 7B Kampung Rambutan-Blok M"
Where can we transfer or change buses at the Gatot Subroto Jamsostek bus stop?,"9 9A 9B 9C: No translation provided, please leave it empty.
6M Stasiun Manggarai-Blok M: Stasiun Manggarai-Blok M
9D Pasar Minggu-Tanah Abang (halte non-BRT): Pasar Minggu-Tanah Abang (non-BRT bus stop)
13C Ciledug-Tosari (05.00-08.00): Ciledug-Tosari (05.00-08.00)
B11 Bekasi Barat-Tosari: Bekasi Barat-Tosari
B21 Bekasi Timur-Grogol 2: Bekasi Timur-Grogol 2"
Where can we transfer or change buses at the Gatot Subroto LIPI bus stop?,"9 9A 9B 9C: No translation provided, please leave it empty.
6M Stasiun Manggarai-Blok M: Stasiun Manggarai-Blok M
9D Pasar Minggu-Tanah Abang (halte non-BRT): Pasar Minggu-Tanah Abang (non-BRT bus stop)
13C Ciledug-Tosari (05.00-08.00): Ciledug-Tosari (05.00-08.00)
B11 Bekasi Barat-Tosari: Bekasi Barat-Tosari
B21 Bekasi Timur-Grogol 2: Bekasi Timur-Grogol 2"
Where can we transfer or change buses at the Semanggi bus stop (direction of Monas)?,"Bendungan Hilir: 1, 4C TU Gas-Bundaran Senayan, S21 Ciputat-Tosari"
Where can we transfer or change buses at the Karet Sudirman bus stop?,Current usage has exceeded your plan's limits. Please upgrade to a paid plan at https://sheetgpt.ai/pricing to immediately increase your usage limits.
Where can we transfer or change buses at the Dukuh Atas 1 bus stop?,Dukuh Atas 2: 4 6
Where can we transfer or change buses at the Tosari bus stop?,"1 9B, 1B Palmerah-Tosari Station, 4A Gas-Grogol TU 2, 4C Gas-Tosari Senayan Roundabout, 9D Pasar Minggu-Tanah Abang, 13C Ciledug-Tosari (05.00-08.00), B11 Bekasi Barat-Tosari, S21 Ciputat-Tosari."
Where can we transfer or change buses at the Sarinah bus stop?,"1 6A 9B, 5A Kampung Melayu-Grogol 1, 9D Pasar Minggu-Tanah Abang

1 6A 9B, 5A Kampung Melayu-Grogol 1, 9D Pasar Minggu-Tanah Abang"
Where can we transfer or change buses at the Bank Indonesia bus stop?,"1 6A 9B, 5A Kampung Melayu-Grogol 1 (no translation available)"
Where can we transfer or change buses at the National Monument (Monumen Nasional) bus stop?,"1 2 2A 2D 6A 9B, 1A PIK-Balai Kota, 5A Kampung Melayu-Grogol 1 

1 2 2A 2D 6A 9B, 1A PIK-Balai Kota, 5A Kampung Melayu-Grogol 1"
Where can we transfer or change buses at the Senayan Roundabout (Bundaran Senayan) bus stop?,"1, 4C TU Gas-Bundaran Senayan: 1, 4C TU Gas-Bundaran Senayan (No translation available)

6M Stasiun Manggarai-Blok M: 6M Stasiun Manggarai-Blok M (No translation available)

S21 Ciputat-Tosari: S21 Ciputat-Tosari (No translation available)

T11 Tangerang-Bundaran Senayan: T11 Tangerang-Bundaran Senayan (No translation available)"
Where can we transfer or change buses at the Gelora Bung Karno bus stop (direction of Pinang Ranti)?,"1, 4C TU Gas-Bundaran Senayan: 1, 4C TU Gas-Bundaran Senayan (No translation available)

6M Stasiun Manggarai-Blok M: 6M Stasiun Manggarai-Blok M (No translation available)

S21 Ciputat-Tosari: S21 Ciputat-Tosari (No translation available)

T11 Tangerang-Bundaran Senayan: T11 Tangerang-Bundaran Senayan (No translation available)"
Where can we transfer or change buses at the Semanggi bus stop (direction of Pinang Ranti)?,There is no specific translation for this sentence as it is a list of bus routes and destinations.
Where can we transfer or change buses at the West Kuningan bus stop?,"Kuningan Timur: 6 6A, 6F Manggarai Station-Ragunan, 6H Lebak Bulus-Senen, 6M Manggarai Station-Blok M"
Where can we transfer or change buses at the Tegal Parang bus stop?,"9 9A 9B 13, 9D Pasar Minggu-Tanah Abang (non-BRT stop), 13C Ciledug-Tosari (05.00-08.00), B11 Bekasi Barat-Tosari, B21 Bekasi Timur-Grogol 2"
Where can we transfer or change buses at the West Pancoran bus stop?,"9 9A 9B, 9D Pasar Minggu-Tanah Abang (non-BRT stop), 13B Ciledug-Pancoran Barat, 13D Ciledug-Ragunan, B11 Bekasi Barat-Tosari, B21 Bekasi Timur-Grogol 2."
Where can we transfer or change buses at the Pancoran Tugu bus stop?,"9 9A 9B, B11 West Bekasi-Tosari, B21 East Bekasi-Grogol 2."
Where can we transfer or change buses at the Tebet BUMD bus stop?,"9 9A 9B, B11 West Bekasi-Tosari, B21 East Bekasi-Grogol 2."
Where can we transfer or change buses at the Cikoko Cawang station bus stop?,"9 9A 9B, B11 West Bekasi-Tosari, B21 East Bekasi-Grogol 2."
Where can we transfer or change buses at the Cawang Ciliwung bus stop?,"9 9A 9B, B11 West Bekasi-Tosari, B21 East Bekasi-Grogol 2."
Where can we transfer or change buses at the BNN bus stop?,"5C 5D 7 9 9A 9B
B11 Bekasi Barat-Tosari - B11 West Bekasi-Tosari
B21 Bekasi Timur-Grogol 2 - B21 East Bekasi-Grogol 2
B22 Bekasi Timur-Pasar Baru - B22 East Bekasi-Pasar Baru"
Where can we transfer or change buses at the Cawang UKI bus stop?,"5C 5D 5E 7 9 9A 9B 10, 7C Cibubur-Cawang UKI, 7D TMII-Cawang UKI, B11 Bekasi Barat-Tosari, B22 Bekasi Timur-Pasar Baru, D11 Depok-Cawang UKI"
Where can we transfer or change buses at the Garuda Taman Mini bus stop?,11H Pinang Ranti-Pulo Gebang
Where can we transfer or change buses at the Pinang Ranti bus stop?,11H Pinang Ranti-Pulo Gebang
Where can we transfer or change buses at the Puri Beta 2 bus stop?,"13, 13A Ciledug-Blok M, 13B Ciledug-Pancoran Barat, 13C Ciledug-Tosari (05.00-08.00) remains the same in English."
Where can we transfer or change buses at the Puri Beta 1 bus stop (direction of Ragunan)?,"13, 13A Ciledug-Blok M, 13B Ciledug-Pancoran Barat, 13C Ciledug-Tosari (05.00-08.00) remains the same in English."
Where can we transfer or change buses at the Adam Malik bus stop?,"13, 13A Ciledug-Blok M, 13B Ciledug-Pancoran Barat, 13C Ciledug-Tosari (05.00-08.00) remains the same in English."
Where can we transfer or change buses at the JORR bus stop?,"13, 1C Pesanggrahan-Blok M (underground route), 13A Ciledug-Blok M, 13B Ciledug-Pancoran Barat, 13C Ciledug-Tosari (05.00-08.00)"
Where can we transfer or change buses at the Swadarma bus stop?,"13, 1C Pesanggrahan-Blok M (underground route), 13A Ciledug-Blok M, 13B Ciledug-Pancoran Barat, 13C Ciledug-Tosari (05.00-08.00)"
Where can we transfer or change buses at the Cipulir bus stop?,"13, 1C Pesanggrahan-Blok M (underground route), 13A Ciledug-Blok M, 13B Ciledug-Pancoran Barat, 13C Ciledug-Tosari (05.00-08.00)"
Where can we transfer or change buses at the Seskoal bus stop?,"13, 1C Pesanggrahan-Blok M (underground route), 13A Ciledug-Blok M, 13B Ciledug-Pancoran Barat, 13C Ciledug-Tosari (05.00-08.00)"
Where can we transfer or change buses at the Kebayoran Lama bus stop?,"13, 1C Pesanggrahan-Blok M (underground route), 13A Ciledug-Blok M, 13B Ciledug-Pancoran Barat, 13C Ciledug-Tosari (05.00-08.00)"
Where can we transfer or change buses at the Velbak bus stop?,"13, 1C Pesanggrahan-Blok M (underground route), 13A Ciledug-Blok M, 13B Ciledug-Pancoran Barat, 13C Ciledug-Tosari (05.00-08.00)

Ps. Keb. Lama (indirect transit): 8, 8C Gandaria City-Tanah Abang, 9E Kebayoran Lama-Grogol 2"
Where can we transfer or change buses at the Mayestik bus stop?,"13, 1C Pesanggrahan-Blok M (underground route), 13A Ciledug-Blok M, 13B Ciledug-Pancoran Barat, 13C Ciledug-Tosari (05.00-08.00)"
Where can we transfer or change buses at the CSW bus stop?,"13, 7B Kampung Rambutan-Blok M (underpass), 13A Ciledug-Blok M, 13B Ciledug-Pancoran Barat, 13C Ciledug-Tosari (05.00-08.00)
13, 7B Kampung Rambutan-Blok M (underpass), 13A Ciledug-Blok M, 13B Ciledug-Pancoran Barat, 13C Ciledug-Tosari (05.00-08.00)"
Where can we transfer or change buses at the Tirtayasa bus stop?,"Blok M (via 13A): 1, 1C Pesanggrahan-Blok M, 6M Manggarai Station-Blok M, 7B Kampung Rambutan-Blok M, 13A Ciledug-Blok M"
Where can we transfer or change buses at the Rawa Barat bus stop?,"13, 7B Kampung Rambutan-Blok M (underpass), 13A Ciledug-Blok M, 13B Ciledug-Pancoran Barat, 13C Ciledug-Tosari (05.00-08.00)
13, 7B Kampung Rambutan-Blok M (underpass), 13A Ciledug-Blok M, 13B Ciledug-Pancoran Barat, 13C Ciledug-Tosari (05.00-08.00)"
Where can we transfer or change buses at the Tendean bus stop?,"13, 7B Kampung Rambutan-Blok M (underground route), 13A Ciledug-Blok M, 13B Ciledug-Pancoran Barat, 13C Ciledug-Tosari (05.00-08.00)

Tegal Parang (via 13C) and Pancoran Barat: 9 9A 9B 9C, 9D Pasar Minggu-Tanah Abang (non-BRT bus stop), 13C Ciledug-Tosari (05.00-08.00), B11 Bekasi Barat-Tosari, B21 Bekasi Timur-Grogol 2

Mampang Prapatan: 6 6A 6B, 6F Manggarai Station-Ragunan, 6H Lebak Bulus-Senen, 7B Kampung Rambutan-Blok M"
Where can we transfer or change buses at the West Pancoran bus stop (direction of Ciledug)?,"9 9A 9B 9C, 9D Pasar Minggu-Tanah Abang (non-BRT stop), 13B Ciledug-Pancoran Barat, B11 Bekasi Barat-Tosari, B21 Bekasi Timur-Grogol 2"
Where can we transfer or change buses at the Mampang Prapatan bus stop (direction of Ragunan)?,"6 6A 6B, 6F Stasiun Manggarai-Ragunan, 6H Lebak Bulus-Senen, 7B Kampung Rambutan-Blok M.

6 6A 6B, 6F Manggarai Station-Ragunan, 6H Lebak Bulus-Senen, 7B Kampung Rambutan-Blok M."
Where can we transfer or change buses at the Duren Tiga bus stop (direction of Ragunan)?,"6 6A 6B, 6F Stasiun Manggarai-Ragunan, 6H Lebak Bulus-Senen, 7B Kampung Rambutan-Blok M.

6 6A 6B, 6F Manggarai Station-Ragunan, 6H Lebak Bulus-Senen, 7B Kampung Rambutan-Blok M."
Where can we transfer or change buses at the Harmoni Sentral bus stop?,"1 2 2A 2D 3 8 8A 9B, 1A PIK-Balai Kota:

1 2 2A 2D 3 8 8A 9B, 1A PIK-Balai Kota."
Where can we transfer or change buses at the Pecenongan bus stop?,"2 2A 2D 3 8A, T12 Poris Plawad-Juanda. (Please provide the correct sentence in order for me to translate it.)"
Where can we transfer or change buses at the Juanda bus stop?,"2 2A 2D 3 8A, T12 Poris Plawad-Juanda, B22 Bekasi Timur-Juanda

2 2A 2D 3 8A, T12 Poris Plawad-Juanda, B22 Bekasi Timur-Juanda"
Where can we transfer or change buses at the Pal Putih bus stop?,"5 5D 5E, B22 Bekasi Timur-Juanda

No translation available"
Where can we transfer or change buses at the Kramat Sentiong NU bus stop?,"5 5D 5E, B22 Bekasi Timur-Juanda

No translation available"
Where can we transfer or change buses at the Salemba UI bus stop?,"5 5D 5E, B22 Bekasi Timur-Juanda

No translation available"
Where can we transfer or change buses at the Salemba Carolus bus stop?,"5 5D 5E, 4A TU Gas-Grogol 2, 4C TU Gas-Bundaran Senayan, 5A Kampung Melayu-Grogol 1, B22 Bekasi Timur-Juanda -> There is no translation available for this input. Please provide a meaningful sentence or phrase to be translated."
Where can we transfer or change buses at the Matraman 1 bus stop (direction of Harmoni)?,"Matraman 2: 4 4D, 4A TU Gas-Grogol 2, 4C TU Gas-Bundaran Senayan

Matraman 2: 4 4D, 4A TU Gas-Grogol 2, 4C TU Gas-Bundaran Senayan."
Where can we transfer or change buses at the Tegalan bus stop?,"5 5D, 5A Kampung Melayu-Grogol 1, B22 Bekasi Timur-Juanda"
Where can we transfer or change buses at the Slamet Riyadi bus stop?,"5 5D, 5A Kampung Melayu-Grogol 1, B22 Bekasi Timur-Juanda"
Where can we transfer or change buses at the Kebon Pala bus stop?,"5D, 5A Melayu Village-Grogol 1, 5B Tebet Station-Bidara Cina, B22 East Bekasi-Juanda"
Where can we transfer or change buses at the Jatinegara Market bus stop (direction of PGC)?,"St. Jatinegara 2: 11, 11K Rusun Rawa Bebek-Bukit Duri, 11N Rusun Cipinang Muara-Stasiun Jatinegara 2

St. Jatinegara 2: 11, 11K Rawa Bebek-Bukit Duri Apartment, 11N Cipinang Muara Apartment-Jatinegara 2 Station"
Where can we transfer or change buses at the Kampung Melayu bus stop (direction of Harmoni)?,"5 5D 7 11.
5A Kampung Melayu-Grogol 1.
B22 Bekasi Timur-Juanda."
Where can we transfer or change buses at the Bidara Cina bus stop?,"5D 7, 5B Stasiun Tebet-Bidara Cina, B22 Bekasi Timur-Juanda"
Where can we transfer or change buses at the Gelanggang Remaja bus stop?,"5D 7, 5B Stasiun Tebet-Bidara Cina, B22 Bekasi Timur-Juanda"
Where can we transfer or change buses at the Cawang Otista bus stop?,"5D 7, B22 Bekasi Timur-Juanda (There is no translation for this sentence as it appears to be a specific address or location.)"
Where can we transfer or change buses at the BKN bus stop?,"5D 7 9A 10 (no translation available)
7C Cibubur-BKN (no translation available)
D11 Depok-BKN (no translation available)"
Where can we transfer or change buses at the PGC 1 bus stop?,5D 7
Where can we transfer or change buses at the Kampung Rambutan bus stop?,"5E 7, MetroTrans/MiniTrans: 7A Kampung Rambutan-Lebak Bulus, 7B Kampung Rambutan-Blok M, Suburban Express: S22 Ciputat-Kampung Rambutan 

5E 7, MetroTrans/MiniTrans: 7A Kampung Rambutan-Lebak Bulus, 7B Kampung Rambutan-Blok M, Suburban Express: S22 Ciputat-Kampung Rambutan"
Where can we transfer or change buses at the Tanah Merdeka bus stop (direction of Harmoni)?,"5E 7, MetroTrans/MiniTrans: 7A Kampung Rambutan-Lebak Bulus, 7B Kampung Rambutan-Blok M, Suburban Express: S22 Ciputat-Kampung Rambutan 

5E 7, MetroTrans/MiniTrans: 7A Kampung Rambutan-Lebak Bulus, 7B Kampung Rambutan-Blok M, Suburban Express: S22 Ciputat-Kampung Rambutan"
Where can we transfer or change buses at the Flyover Raya Bogor bus stop?,"5E 7, MetroTrans/MiniTrans: 7A Kampung Rambutan-Lebak Bulus, 7B Kampung Rambutan-Blok M, Suburban Express: S22 Ciputat-Kampung Rambutan 

5E 7, MetroTrans/MiniTrans: 7A Kampung Rambutan-Lebak Bulus, 7B Kampung Rambutan-Blok M, Suburban Express: S22 Ciputat-Kampung Rambutan"
Where can we transfer or change buses at the Harapan Bunda Hospital bus stop?,"5E 7, MetroTrans/MiniTrans: 7B Kampung Rambutan-Blok M

5E 7, MetroTrans/MiniTrans: 7B Kampung Rambutan-Blok M"
Where can we transfer or change buses at the Kramat Jati Market bus stop?,"5E 7, MetroTrans/MiniTrans: 7B Kampung Rambutan-Blok M

5E 7, MetroTrans/MiniTrans: 7B Kampung Rambutan-Blok M"
Where can we transfer or change buses at the Cawang Sutoyo bus stop?,5E 10
Where can we transfer or change buses at the Penas Kalimalang bus stop?,"5E 10, MetroTrans/MiniTrans: 10B Rusun Cipinang Besar Selatan-Penas Kalimalang, Suburban Express: B12 Summarecon Bekasi-Tanjung Priok

5E 10, MetroTrans/MiniTrans: 10B Cipinang Besar Selatan Public Housing-Penas Kalimalang, Suburban Express: B12 Summarecon Bekasi-Tanjung Priok"
Where can we transfer or change buses at the Cipinang Kebon Nanas bus stop?,"5E 10, MetroTrans/MiniTrans: 10B Rusun Cipinang Besar Selatan-Penas Kalimalang, Suburban Express: B12 Summarecon Bekasi-Tanjung Priok

5E 10, MetroTrans/MiniTrans: 10B Cipinang Besar Selatan Public Housing-Penas Kalimalang, Suburban Express: B12 Summarecon Bekasi-Tanjung Priok"
Where can we transfer or change buses at the Pedati Prumpung bus stop?,"5E 10, Suburban Express: B12 Summarecon Bekasi-Tanjung Priok"
Where can we transfer or change buses at the Jatinegara station bus stop?,"Flyover Jatinegara: 11, MetroTrans/MiniTrans: 11K Rusun Rawa Bebek-Bukit Duri, 11N Rusun Cipinang Muara-Stasiun Jatinegara 2"
Where can we transfer or change buses at the Ahmad Yani Customs Office bus stop?,"5E 10, Suburban Express: B12 Summarecon Bekasi-Tanjung Priok"
Where can we transfer or change buses at the Utan Kayu Rawamangun bus stop?,"5E 10, Suburban Express: B12 Summarecon Bekasi-Tanjung Priok"
Where can we transfer or change buses at the Pemuda Pramuka bus stop?,"Pramuka BPKP : 4 4D 5E, MetroTrans/MiniTrans: 4A TU Gas-Grogol 2, 4C TU Gas-Bundaran Senayan. (No translation provided as the sentence is already in English)"
Where can we transfer or change buses at the Kayu Putih Rawasari bus stop?,"10, Suburban Express: B12 Summarecon Bekasi-Tanjung Priok."
Where can we transfer or change buses at the Pulomas Bypass bus stop?,"10, Suburban Express: B12 Summarecon Bekasi-Tanjung Priok."
Where can we transfer or change buses at the Cempaka Putih bus stop?,"10, Suburban Express: B12 Summarecon Bekasi-Tanjung Priok."
Where can we transfer or change buses at the Cempaka Timur bus stop?,"Cempaka Mas 2: 10, MetroTrans/MiniTrans: 2E Rusun Rawa Bebek-Pakin, Surburban Express: B12 Summarecon Bekasi-Tanjung Priok"
Where can we transfer or change buses at the Islamic Hospital (RS Islam) bus stop?,2 2A 2D
Where can we transfer or change buses at the Cempaka Tengah bus stop?,2 2A 2D
Where can we transfer or change buses at the Cempaka Putih Market bus stop?,2 2A 2D
Where can we transfer or change buses at the Rawa Selatan bus stop?,2 2A 2D
Where can we transfer or change buses at the Galur bus stop?,2 2A 2D
Where can we transfer or change buses at the Senen bus stop?,"Senen Sentral: 5 5C 5D 5E, MetroTrans/MiniTrans: 1P Senen-Bundaran Senayan, 6H Lebak Bulus-Senen, 12B Pluit-Senen, Surburban Express: B22 Bekasi-Juanda (via Bekasi Timur)

Senen Sentral: 5 5C 5D 5E, MetroTrans/MiniTrans: 1P Senen-Senayan Roundabout, 6H Lebak Bulus-Senen, 12B Pluit-Senen, Surburban Express: B22 Bekasi-Juanda (via East Bekasi)"
Where can we transfer or change buses at the Atrium bus stop?,2 2A 2D
Where can we transfer or change buses at the RSPAD bus stop?,2 2A 2D
Where can we transfer or change buses at the Department of Foreign Affairs (Deplu) bus stop?,2 2A 2D
Where can we transfer or change buses at the Gambir 1 bus stop?,2 2A 2D
Where can we transfer or change buses at the Istiqlal Mosque bus stop?,"2 2A 2D, MetroTrans/MiniTrans: 6H Lebak Bulus-Senen

2 2A 2D, MetroTrans/MiniTrans: 6H Lebak Bulus-Senen"
Where can we transfer or change buses at the City Hall (Balai Kota) bus stop?,"2 2A 2D, MetroTrans/MiniTrans: 1A PIK-Balai Kota (halte non-BRT), 1P Senen-Bundaran Senayan.

2 2A 2D, MetroTrans/MiniTrans: 1A PIK-Balai Kota (non-BRT stop), 1P Senen-Senayan Roundabout."
Where can we transfer or change buses at the Gambir 2 bus stop?,"2 2A 2D, MetroTrans/MiniTrans: 1P Senen-Bundaran Senayan

2 2A 2D, MetroTrans/MiniTrans: 1P Senen-Bundaran Senayan"
Where can we transfer or change buses at the Kwitang bus stop?,"2 2A 2D, MetroTrans/MiniTrans: 1P Senen-Bundaran Senayan

2 2A 2D, MetroTrans/MiniTrans: 1P Senen-Bundaran Senayan"
Where can we transfer or change buses at the Tanjung Priok bus stop?,"12, MetroTrans/MiniTrans: 10A Marunda-Tanjung Priok, Suburban Express: B12 Summarecon Bekasi-Tanjung Priok, Jak Lingko: JAK 13 Tanjung Priok-North Jakarta Mayor's Office, JAK 15 Tanjung Priok-Bulak Turi."
Where can we transfer or change buses at the Enggano bus stop?,"12, MetroTrans/MiniTrans: 10A Marunda-Tanjung Priok, Suburban Express: B12 Summarecon Bekasi-Tanjung Priok, Jak Lingko: JAK 15 Tanjung Priok-Bulak Turi."
Where can we transfer or change buses at the Permai Koja bus stop?,"12, Suburban Express: B12 Summarecon Bekasi-Tanjung Priok

12, Suburban Express: B12 Summarecon Bekasi-Tanjung Priok."
Where can we transfer or change buses at the North Jakarta Mayor's Office (Walikota Jakarta Utara) bus stop?,"12, MetroTrans/MiniTrans: 12F Marunda Flats-Pluit Reservoir Flats, Suburban Express: B12 Summarecon Bekasi-Tanjung Priok, Jak Lingko: JAK 13 Tanjung Priok-North Jakarta Mayor's Office."
Where can we transfer or change buses at the Plumpang Pertamina bus stop?,"12, Suburban Express: B12 Summarecon Bekasi-Tanjung Priok

12, Suburban Express: B12 Summarecon Bekasi-Tanjung Priok."
Where can we transfer or change buses at the Sunter Kelapa Gading bus stop?,"12, MetroTrans/MiniTrans: 12D Rusun Sukapura-Sunter Kelapa Gading, Suburban Express: B12 Summarecon Bekasi-Tanjung Priok, Jak Lingko: JAK 24 Senen-Pulo Gadung (via Kelapa Gading)

12, MetroTrans/MiniTrans: 12D Sukapura-Sunter Kelapa Gading Apartment, Suburban Express: B12 Summarecon Bekasi-Tanjung Priok, Jak Lingko: JAK 24 Senen-Pulo Gadung (via Kelapa Gading)"
Where can we transfer or move at the Yos Sudarso Kodamar stop?,"MetroTrans/MiniTrans: 2E Rusun Rawa Bebek-Pakin, Suburban Express: B12 Summarecon Bekasi-Tanjung Priok, Jak Lingko: JAK 24 Pulo Gadung-Senen (via Kelapa Gading)

MetroTrans/MiniTrans: 2E Rusun Rawa Bebek-Pakin
Suburban Express: B12 Summarecon Bekasi-Tanjung Priok
Jak Lingko: JAK 24 Pulo Gadung-Senen (via Kelapa Gading)"
Where can we transfer or move at the Cempaka Mas 2 stop?,"Cempaka Timur: 2 2A 2D 7 (Corridor 7F), Jak Lingko: JAK 33 Pulo Gadung-City, JAK 61 Pulo Gadung-Cempaka Timur"
Where can we transfer or move at the Tanah Merdeka (Direction Kampung Melayu) stop?,"5E, MetroTrans/MiniTrans: 7A Kampung Rambutan-Lebak Bulus, 7B Kampung Rambutan-Blok M, 7N Kampung Rambutan-Pekayon, Suburban Express: S22 Ciputat-Kampung Rambutan, Jak Lingko: JAK 6 Kampung Rambutan-Pasar Pondok Gede

5E, MetroTrans/MiniTrans: 7A Kampung Rambutan-Lebak Bulus, 7B Kampung Rambutan-Blok M, 7N Kampung Rambutan-Pekayon, Suburban Express: S22 Ciputat-Kampung Rambutan, Jak Lingko: JAK 6 Kampung Rambutan-Pasar Pondok Gede"
